,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.0017088152802595866,0.26933728364589116,0.2912726837518552,0.5481345399408211,0.34657857585261365,0.31426730415819437,0.037738960649551255,0.033693347008107624
IAR,0.0017088152802595866,,0.29023829503686827,0.4020153162062027,0.004779229618382733,4.013984977557727e-05,0.00013538535119956942,3.8375888241866204e-06,2.403659034138091e-06
LR,0.26933728364589116,0.29023829503686827,,0.2638373512537071,0.2721254994907988,0.2670054813907533,0.26633687909109505,0.2637468217488135,0.26310986827057936
LAS,0.2912726837518552,0.4020153162062027,0.2638373512537071,,0.3048651248359422,0.27940214216470116,0.27639225007404833,0.2640623255409873,0.26114460662304995
QRF,0.5481345399408211,0.004779229618382733,0.2721254994907988,0.3048651248359422,,0.00029173160522749615,0.07696628068397304,0.00048363992781053403,0.0005583342389023865
QGB,0.34657857585261365,4.013984977557727e-05,0.2670054813907533,0.27940214216470116,0.00029173160522749615,,0.6025168481851718,0.0553620334588569,0.12198606263756079
DMQv0c,0.31426730415819437,0.00013538535119956942,0.26633687909109505,0.27639225007404833,0.07696628068397304,0.6025168481851718,,0.3691977756291551,0.4933222324382833
DMQv1c,0.037738960649551255,3.8375888241866204e-06,0.2637468217488135,0.2640623255409873,0.00048363992781053403,0.0553620334588569,0.3691977756291551,,0.7720902706996063
DMQv2c,0.033693347008107624,2.403659034138091e-06,0.26310986827057936,0.26114460662304995,0.0005583342389023865,0.12198606263756079,0.4933222324382833,0.7720902706996063,
