,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-3.136664530042146,-1.1045900057110818,-1.055333808898093,-0.6005578186311273,0.9412464541175071,1.0063082686788025,2.0776787162496495,2.123722593189122
IAR,3.136664530042146,0.0,-1.0575990078725952,-0.8380273979128106,2.8215492656255,4.106673203814594,3.816450261414055,4.619989814745886,4.7161359107368295
LR,1.1045900057110818,1.0575990078725952,0.0,1.117367205163718,1.0981809120801327,1.109985020638014,1.11153791571947,1.1175790470685332,1.119070958408793
LAS,1.055333808898093,0.8380273979128106,-1.117367205163718,0.0,1.0260561352072592,1.0816633541980936,1.0884596277762417,1.1168409752366792,1.1236898905604547
QRF,0.6005578186311273,-2.8215492656255,-1.0981809120801327,-1.0260561352072592,0.0,3.6225335532663756,1.768566288848163,3.48965752163897,3.4510866707321455
QGB,-0.9412464541175071,-4.106673203814594,-1.109985020638014,-1.0816633541980936,-3.6225335532663756,0.0,0.520784577113236,1.916024058447401,1.5464908730385423
DMQv0c,-1.0063082686788025,-3.816450261414055,-1.11153791571947,-1.0884596277762417,-1.768566288848163,-0.520784577113236,0.0,0.8979770673569721,0.6850343705253887
DMQv1c,-2.0776787162496495,-4.619989814745886,-1.1175790470685332,-1.1168409752366792,-3.48965752163897,-1.916024058447401,-0.8979770673569721,0.0,0.2896418190413723
DMQv2c,-2.123722593189122,-4.7161359107368295,-1.119070958408793,-1.1236898905604547,-3.4510866707321455,-1.5464908730385423,-0.6850343705253887,-0.2896418190413723,0.0
