,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-1.5800884072420651,-1.4010997589124952,-0.7729747204478674,1.4471950159776676,-0.6661664695321244,-0.010268213496917849,-0.12264994223831538,-0.9522339656646915
UAR,1.5800884072420651,0.0,-1.1634217093926342,0.6042384404068305,1.6543689509615649,0.978645463955711,0.6484333735758332,0.9466090192732167,-0.05951048449915657
LR,1.4010997589124952,1.1634217093926342,0.0,1.2923416921878443,1.5544052105423352,1.3404653404035651,1.3711365845519605,1.3759043024898487,1.1342611048345266
LAS,0.7729747204478674,-0.6042384404068305,-1.2923416921878443,0.0,1.8965306893112472,0.39027265563111485,0.41450176954685464,0.7178027529001139,-0.6065268154938587
QRF,-1.4471950159776676,-1.6543689509615649,-1.5544052105423352,-1.8965306893112472,0.0,-2.2150889997047436,-0.762972908346652,-1.441607556014086,-1.6465806523040718
QGB,0.6661664695321244,-0.978645463955711,-1.3404653404035651,-0.39027265563111485,2.2150889997047436,0.0,0.20034121857398873,0.29653342040236047,-0.7331171050471108
DMQv0c,0.010268213496917849,-0.6484333735758332,-1.3711365845519605,-0.41450176954685464,0.762972908346652,-0.20034121857398873,0.0,-0.08438692676067273,-1.1259709985631383
DMQv1c,0.12264994223831538,-0.9466090192732167,-1.3759043024898487,-0.7178027529001139,1.441607556014086,-0.29653342040236047,0.08438692676067273,0.0,-1.2011350006722696
DMQv2c,0.9522339656646915,0.05951048449915657,-1.1342611048345266,0.6065268154938587,1.6465806523040718,0.7331171050471108,1.1259709985631383,1.2011350006722696,0.0
