Model,R2
AR1,2.9
Naive,2.9
DMQv2c,-4.6
DMQv1,-6.2
QRF,-6.6
DMQv2,-14.2
QGB,-16.4
DMQv1c,-21.7
LAS,-27.7
AR1_Mean,-38.1
DMQv0,-56.5
DMQv0c,-61.9
IAR,-89.0
LR,-188.1
