Model,R2
DMQv2c,47.3
DMQv0c,37.4
DMQv2,37.1
DMQv1,36.1
DMQv1c,35.5
DMQv0,31.3
QGB,19.9
VG,11.8
QRF,11.5
LAS,10.7
Naive,1.8
AR1,1.6
AR1_Mean,0.4
LR,-284.8
