,AR1,VG,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,,,,,,,,
VG,,,,,,,,,
LR,,,,,,,,,
LAS,,,,,,,,,
QRF,,,,,,,,,
QGB,,,,,,,,,
DMQv0c,,,,,,,,,
DMQv1c,,,,,,,,,
DMQv2c,,,,,,,,,
