Model,R2
DMQv0,14.1
DMQv2,12.6
QGB,9.8
DMQv1,8.9
DMQv2c,7.3
DMQv1c,3.2
DMQv0c,0.6
Naive,0.6
AR1,0.3
AR1_Mean,-2.0
QRF,-2.6
VG,-47.7
LR,-51.1
LAS,-61.5
