,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-1.869850746455007,-1.3191493553724118,0.5545693266222493,3.7172106689279434,1.89713594953463,1.024158417927378,1.0548926565089323,-0.233116514145287
UAR,1.869850746455007,0.0,-0.9984154718946732,2.270332959327338,3.411033037122266,3.4155135993390333,2.4702236409574936,2.798933247302455,0.7661683644194213
LR,1.3191493553724118,0.9984154718946732,0.0,1.3440744866807586,1.5082630421509597,1.492876675692049,1.5061464741911408,1.427785856454765,1.1630646829431834
LAS,-0.5545693266222493,-2.270332959327338,-1.3440744866807586,0.0,2.604920899882816,1.9315983654484545,0.8729884596597349,0.7705012285588212,-0.38040635188081706
QRF,-3.7172106689279434,-3.411033037122266,-1.5082630421509597,-2.604920899882816,0.0,0.00883976937436903,0.2933846369822689,-0.17704523721873172,-0.928324427064231
QGB,-1.89713594953463,-3.4155135993390333,-1.492876675692049,-1.9315983654484545,-0.00883976937436903,0.0,0.30977200960361234,-0.1946643007269978,-0.9292190624803186
DMQv0c,-1.024158417927378,-2.4702236409574936,-1.5061464741911408,-0.8729884596597349,-0.2933846369822689,-0.30977200960361234,0.0,-0.614841225120066,-1.5530664124541762
DMQv1c,-1.0548926565089323,-2.798933247302455,-1.427785856454765,-0.7705012285588212,0.17704523721873172,0.1946643007269978,0.614841225120066,0.0,-1.2912578790927887
DMQv2c,0.233116514145287,-0.7661683644194213,-1.1630646829431834,0.38040635188081706,0.928324427064231,0.9292190624803186,1.5530664124541762,1.2912578790927887,0.0
