Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv1,-19.7,-6.3,-0.9,6.8,26.9,1.36
Naive,-0.1,0.5,0.5,1.7,0.5,0.62
AR1,-0.1,0.5,0.6,1.8,-0.5,0.45999999999999996
QRF,-5.2,2.9,3.5,-1.1,-6.1,-1.2
DMQv2,-41.9,-13.9,6.1,19.4,15.6,-2.9399999999999995
DMQv2c,-11.9,-0.1,4.8,4.0,-14.1,-3.46
DMQv1c,-36.4,3.2,10.2,-5.0,-55.7,-16.740000000000002
DMQv0,-15.5,-12.7,-12.3,-36.2,-24.2,-20.18
QGB,-35.8,2.5,3.7,-2.5,-90.8,-24.58
DMQv0c,-8.6,-0.9,-1.7,-27.2,-108.4,-29.360000000000003
IAR,-50.9,-10.8,-37.2,-43.4,-34.0,-35.260000000000005
LAS,-78.9,0.5,0.6,-4.7,-216.9,-59.88000000000001
LR,-159.8,-34.6,-20.9,-22.3,-221.8,-91.88000000000001
