Model,R2
DMQv0,22.1
DMQv0c,21.9
DMQv2,17.9
DMQv2c,14.9
DMQv1,12.1
QGB,9.0
DMQv1c,8.0
Naive,1.7
AR1,1.5
QRF,1.5
AR1_Mean,-0.8
VG,-12.2
LAS,-17.5
LR,-171.9
