,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-2.1301667905508137,-1.420513462155497,-1.2027857303864515,5.627863941559199,2.172688502450979,2.9791317184124413,4.666431560091283,4.474862014458168
IAR,2.1301667905508137,0.0,-1.10478063536879,-0.5082358736904622,3.374460196231925,2.9275299087094826,3.906990386875204,4.446832080711365,4.184171394599021
LR,1.420513462155497,1.10478063536879,0.0,1.5219430991349714,1.6047528732513052,1.5526727792105781,1.7183739779185685,1.743777929334798,1.716591871737886
LAS,1.2027857303864515,0.5082358736904622,-1.5219430991349714,0.0,1.622072230006899,1.5072175285300577,1.863783600011344,1.9224770702090865,1.8594130672764333
QRF,-5.627863941559199,-3.374460196231925,-1.6047528732513052,-1.622072230006899,0.0,-1.3742551741113047,1.600891368823419,3.001636986550993,2.25484119713229
QGB,-2.172688502450979,-2.9275299087094826,-1.5526727792105781,-1.5072175285300577,1.3742551741113047,0.0,2.5435999538933056,3.402707683305005,2.3694927690252876
DMQv0c,-2.9791317184124413,-3.906990386875204,-1.7183739779185685,-1.863783600011344,-1.600891368823419,-2.5435999538933056,0.0,0.5504109542519843,-0.03780835605995182
DMQv1c,-4.666431560091283,-4.446832080711365,-1.743777929334798,-1.9224770702090865,-3.001636986550993,-3.402707683305005,-0.5504109542519843,0.0,-0.7517912252444398
DMQv2c,-4.474862014458168,-4.184171394599021,-1.716591871737886,-1.8594130672764333,-2.25484119713229,-2.3694927690252876,0.03780835605995182,0.7517912252444398,0.0
