Model,R2
DMQv0c,48.5
DMQv2,47.1
DMQv1c,43.0
DMQv2c,39.8
DMQv0,38.5
QGB,30.8
DMQv1,29.2
QRF,18.7
Naive,-6.2
AR1,-6.7
AR1_Mean,-8.4
IAR,-15.2
LAS,-1191.8
LR,-5692.9
