Model,R2
IAR,89.8
DMQv1,83.9
DMQv0,80.7
DMQv0c,77.1
DMQv2c,76.4
DMQv2,72.5
DMQv1c,65.1
AR1_Mean,54.7
QGB,45.2
LAS,42.7
LR,26.8
QRF,22.9
Naive,-9.2
AR1,-10.0
