Model,R2
UAR,7.0
QGB,6.9
QRF,3.4
AR1,0.1
Naive,0.1
DMQv1c,-3.5
DMQv1,-9.3
LAS,-9.4
AR1_Mean,-14.7
DMQv0,-17.8
DMQv0c,-20.0
DMQv2,-21.1
LR,-30.4
DMQv2c,-32.5
