,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-0.7025444616765499,-1.3354215032873733,1.8320916334568589,4.155283892589002,4.747331211968022,2.3974264360186077,3.0062410385818303,1.7243514033510114
UAR,0.7025444616765499,0.0,-1.0412130922833176,1.621236961126887,3.048048076504626,4.032434934634428,3.2285150697275724,3.699395331089003,2.3228456700091
LR,1.3354215032873733,1.0412130922833176,0.0,1.5456966986770257,1.7554688774886766,1.9083619347809098,1.8656018425796705,1.824279925920482,1.6354105206245384
LAS,-1.8320916334568589,-1.621236961126887,-1.5456966986770257,0.0,2.482529906505474,3.420250024159802,1.6451731925286877,1.9318287819792548,0.8182781916714764
QRF,-4.155283892589002,-3.048048076504626,-1.7554688774886766,-2.482529906505474,0.0,2.754563534816185,0.8387012577915433,1.0100129946969805,-0.1567632277764916
QGB,-4.747331211968022,-4.032434934634428,-1.9083619347809098,-3.420250024159802,-2.754563534816185,0.0,0.16542552124749368,-0.13449956536234575,-0.909233033675856
DMQv0c,-2.3974264360186077,-3.2285150697275724,-1.8656018425796705,-1.6451731925286877,-0.8387012577915433,-0.16542552124749368,0.0,-0.3498750313134996,-1.6380998536704148
DMQv1c,-3.0062410385818303,-3.699395331089003,-1.824279925920482,-1.9318287819792548,-1.0100129946969805,0.13449956536234575,0.3498750313134996,0.0,-1.4299874445165444
DMQv2c,-1.7243514033510114,-2.3228456700091,-1.6354105206245384,-0.8182781916714764,0.1567632277764916,0.909233033675856,1.6380998536704148,1.4299874445165444,0.0
