,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,2.690555147866032,-1.1269262315406352,-0.9632909673382642,2.5104386792114255,2.9322301479811252,2.4065096565502118,2.469142599570863,2.5616470529342217
UAR,-2.690555147866032,0.0,-1.141759739313944,-2.0285511832723877,-2.1373209439382337,-2.0032431336886622,-0.5689852512396871,0.8815531968595615,1.3196351576152634
LR,1.1269262315406352,1.141759739313944,0.0,1.1267922936932735,1.1335558842751219,1.135130870672625,1.1390149645932959,1.141979206577132,1.1436909000166497
LAS,0.9632909673382642,2.0285511832723877,-1.1267922936932735,0.0,1.5651099471969283,1.7095504105249502,1.8515117501321998,1.970962459508003,2.053420578266758
QRF,-2.5104386792114255,2.1373209439382337,-1.1335558842751219,-1.5651099471969283,0.0,2.0307206669883913,1.8450997135350677,2.0050646846875395,2.022575087338475
QGB,-2.9322301479811252,2.0032431336886622,-1.135130870672625,-1.7095504105249502,-2.0307206669883913,0.0,1.6438840820780751,1.8521955185941117,1.9006238265789337
DMQv0c,-2.4065096565502118,0.5689852512396871,-1.1390149645932959,-1.8515117501321998,-1.8450997135350677,-1.6438840820780751,0.0,1.7602996979404648,1.4367419459702218
DMQv1c,-2.469142599570863,-0.8815531968595615,-1.141979206577132,-1.970962459508003,-2.0050646846875395,-1.8521955185941117,-1.7602996979404648,0.0,0.6576717660385676
DMQv2c,-2.5616470529342217,-1.3196351576152634,-1.1436909000166497,-2.053420578266758,-2.022575087338475,-1.9006238265789337,-1.4367419459702218,-0.6576717660385676,0.0
