Model,R2
DMQv2c,65.7
DMQv1,62.8
DMQv1c,62.8
DMQv0,62.3
DMQv2,60.1
UAR,57.4
DMQv0c,54.0
QGB,33.4
QRF,29.7
AR1_Mean,7.9
AR1,1.4
Naive,1.4
LAS,-13.1
LR,-2731.2
