Model,R2
QGB,17.2
DMQv1c,14.8
QRF,13.3
DMQv1,11.8
UAR,8.6
DMQv0,7.1
DMQv0c,4.8
DMQv2,1.6
AR1,0.5
Naive,0.5
DMQv2c,-4.3
LAS,-6.4
AR1_Mean,-6.8
LR,-480.2
