Model,R2
DMQv0,9.3
QGB,8.5
DMQv2,6.5
DMQv1,2.5
DMQv2c,0.6
Naive,0.5
AR1,0.2
AR1_Mean,-1.9
DMQv1c,-2.7
QRF,-2.7
DMQv0c,-5.8
VG,-50.4
LR,-61.7
LAS,-71.3
