,AR1,VG,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-0.5551565139305698,-1.782332377676217,-1.8795763252399018,1.6354613927291146,-0.48577771058003133,2.058782931028583,0.7156536836812495,1.112925552584929
VG,0.5551565139305698,0.0,-1.6799305120796815,-1.7812824282551927,1.4328383168390937,0.17046547736098602,3.5560924001467287,1.518093344421817,1.852903627770733
LR,1.782332377676217,1.6799305120796815,0.0,1.5270775139298884,1.8579310567041398,1.7313341854474467,1.9407253125630723,1.7701822820207322,1.8410076516681029
LAS,1.8795763252399018,1.7812824282551927,-1.5270775139298884,0.0,2.519762366366861,1.7680551275365193,4.635216690969423,2.5372036797077073,2.6885733638278584
QRF,-1.6354613927291146,-1.4328383168390937,-1.8579310567041398,-2.519762366366861,0.0,-2.1713772100947586,1.369573143401816,0.08014756628378138,0.6486784752531508
QGB,0.48577771058003133,-0.17046547736098602,-1.7313341854474467,-1.7680551275365193,2.1713772100947586,0.0,2.5097202744680525,1.0715377940366706,1.5211386786363355
DMQv0c,-2.058782931028583,-3.5560924001467287,-1.9407253125630723,-4.635216690969423,-1.369573143401816,-2.5097202744680525,0.0,-1.4462613642894158,-0.4436291743147191
DMQv1c,-0.7156536836812495,-1.518093344421817,-1.7701822820207322,-2.5372036797077073,-0.08014756628378138,-1.0715377940366706,1.4462613642894158,0.0,1.0980161109021962
DMQv2c,-1.112925552584929,-1.852903627770733,-1.8410076516681029,-2.6885733638278584,-0.6486784752531508,-1.5211386786363355,0.4436291743147191,-1.0980161109021962,0.0
