Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv2,14.4,9.4,12.9,22.9,7.8,13.48
DMQv0,-8.0,10.4,17.8,30.6,12.0,12.56
DMQv0c,8.2,6.0,13.8,23.9,7.3,11.84
DMQv2c,17.3,4.3,9.0,18.6,0.8,10.0
DMQv1,17.0,2.9,6.9,14.5,-1.0,8.059999999999999
DMQv1c,1.5,-3.0,6.3,18.6,5.9,5.860000000000001
QRF,-0.9,0.8,6.2,12.4,9.3,5.5600000000000005
Naive,2.2,0.7,0.8,0.4,0.1,0.8400000000000001
AR1,2.1,0.7,0.7,0.2,-0.1,0.72
VG,-10.5,-6.7,-4.2,7.0,4.0,-2.0799999999999996
QGB,-71.7,-8.0,8.2,29.5,7.5,-6.9
LAS,-51.9,-1.9,-11.2,-0.2,-26.8,-18.4
LR,-115.6,-43.0,-71.9,-77.7,-293.1,-120.25999999999999
