Model,0.05,0.25,0.5,0.75,0.95,Mean
AR1,2.8,1.1,0.4,0.1,-0.3,0.82
Naive,1.3,1.1,0.8,0.2,0.3,0.74
QRF,-88.3,5.1,11.5,11.1,5.4,-11.040000000000001
DMQv0c,-123.0,-14.4,22.3,24.7,25.4,-13.0
VG,-132.9,-19.6,6.9,7.5,4.8,-26.659999999999997
DMQv2,-209.0,-9.6,8.8,6.0,-4.1,-41.58
DMQv0,-288.7,-20.0,27.1,38.2,31.6,-42.36
DMQv1,-206.8,-39.8,-14.5,-4.1,-2.8,-53.60000000000001
DMQv2c,-394.7,-31.1,7.2,6.7,7.5,-80.88000000000001
DMQv1c,-426.6,-35.6,-7.0,-4.9,-5.3,-95.88000000000001
QGB,-592.2,-50.3,16.3,23.8,25.3,-115.42000000000003
LR,-796.4,-50.4,-6.7,22.2,27.6,-160.73999999999998
LAS,-838.7,-25.8,-3.4,7.9,29.2,-166.16
