Model,R2
DMQv2c,53.2
DMQv1c,51.9
DMQv2,50.0
DMQv1,48.7
DMQv0c,46.6
QGB,43.1
DMQv0,41.6
AR1_Mean,34.4
QRF,29.0
Naive,-6.6
AR1,-7.3
IAR,-10.4
LAS,-204.0
LR,-1141.4
