,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,2.45643589235922,-1.6015594331637208,-1.1099091951813693,-2.2004900666899863,-1.455131449683945,2.187802340319364,1.5116747368668004,2.005960503550967
IAR,-2.45643589235922,0.0,-2.387117781240366,-2.063440464635233,-2.5196804016124488,-2.297614288377109,-2.0384649374419492,-2.4947668342416964,-2.3651448056745816
LR,1.6015594331637208,2.387117781240366,0.0,1.73937072359429,-0.38243900106593937,1.2796181447694503,2.3851595669071077,2.1357951913202107,2.17275212676296
LAS,1.1099091951813693,2.063440464635233,-1.73937072359429,0.0,-2.9132635753482794,0.3371240218177088,1.9149025936128021,1.5688841414350323,1.7515497426838738
QRF,2.2004900666899863,2.5196804016124488,0.38243900106593937,2.9132635753482794,0.0,2.4221740151008166,2.4804387116082887,2.3652136629093814,2.3645358892190047
QGB,1.455131449683945,2.297614288377109,-1.2796181447694503,-0.3371240218177088,-2.4221740151008166,0.0,2.082099452844783,1.7105103007556763,1.943904310966081
DMQv0c,-2.187802340319364,2.0384649374419492,-2.3851595669071077,-1.9149025936128021,-2.4804387116082887,-2.082099452844783,0.0,-2.587114212149543,-0.1575627546096247
DMQv1c,-1.5116747368668004,2.4947668342416964,-2.1357951913202107,-1.5688841414350323,-2.3652136629093814,-1.7105103007556763,2.587114212149543,0.0,1.8392751847070943
DMQv2c,-2.005960503550967,2.3651448056745816,-2.17275212676296,-1.7515497426838738,-2.3645358892190047,-1.943904310966081,0.1575627546096247,-1.8392751847070943,0.0
