,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,2.551119362944808,-2.2413489619827676,-1.937565583941489,1.4496541847492266,-1.5516819296552053,1.2396970191093302,0.8481465649804342,0.7513571328226094
UAR,-2.551119362944808,0.0,-2.4897522272236046,-2.24500431309211,-1.2743269930471253,-2.0449535110586545,-0.3574044291447263,-0.6009171396675177,-0.536711741888354
LR,2.2413489619827676,2.4897522272236046,0.0,1.4813259619726715,2.4223206142677642,1.7327271449265187,2.5567677174567685,2.3292508705209034,2.2985498358254524
LAS,1.937565583941489,2.24500431309211,-1.4813259619726715,0.0,2.1333736327643917,1.310610640266988,2.2739458542836393,2.0447335521495593,2.0029494666563123
QRF,-1.4496541847492266,1.2743269930471253,-2.4223206142677642,-2.1333736327643917,0.0,-2.071685081148872,0.7956070413398153,0.2909927064148408,0.25428653097395004
QGB,1.5516819296552053,2.0449535110586545,-1.7327271449265187,-1.310610640266988,2.071685081148872,0.0,2.1776813667200754,2.468225774784679,2.3603512760511047
DMQv0c,-1.2396970191093302,0.3574044291447263,-2.5567677174567685,-2.2739458542836393,-0.7956070413398153,-2.1776813667200754,0.0,-0.3655858319231346,-0.29144402611265197
DMQv1c,-0.8481465649804342,0.6009171396675177,-2.3292508705209034,-2.0447335521495593,-0.2909927064148408,-2.468225774784679,0.3655858319231346,0.0,0.03810079829580183
DMQv2c,-0.7513571328226094,0.536711741888354,-2.2985498358254524,-2.0029494666563123,-0.25428653097395004,-2.3603512760511047,0.29144402611265197,-0.03810079829580183,0.0
