,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-3.275701560267913,-1.337369523222969,-2.5947448096943697,-1.0614997886441107,-4.05754256958549,0.831641156346469,-0.26861499949130624,-0.6383523589833386
IAR,3.275701560267913,0.0,-1.1995653068740944,0.10863880495752436,3.2428844501993486,-0.7943184811242591,3.214870135535354,2.0522592981141288,1.8347502779999154
LR,1.337369523222969,1.1995653068740944,0.0,1.212177005690237,1.3319402279457846,1.1820411757316793,1.3568943171692873,1.28512819907342,1.2737050920318174
LAS,2.5947448096943697,-0.10863880495752436,-1.212177005690237,0.0,2.479968304641802,-0.6826524346140259,2.7395933783358886,1.723631774824473,1.4791152923832604
QRF,1.0614997886441107,-3.2428844501993486,-1.3319402279457846,-2.479968304641802,0.0,-3.925830682806526,1.0027009889927954,-0.18689132400107525,-0.56937083208518
QGB,4.05754256958549,0.7943184811242591,-1.1820411757316793,0.6826524346140259,3.925830682806526,0.0,3.021275791119212,1.9608853496916288,1.7950247588430712
DMQv0c,-0.831641156346469,-3.214870135535354,-1.3568943171692873,-2.7395933783358886,-1.0027009889927954,-3.021275791119212,0.0,-1.46609599795397,-2.067754956714216
DMQv1c,0.26861499949130624,-2.0522592981141288,-1.28512819907342,-1.723631774824473,0.18689132400107525,-1.9608853496916288,1.46609599795397,0.0,-1.4003745765084814
DMQv2c,0.6383523589833386,-1.8347502779999154,-1.2737050920318174,-1.4791152923832604,0.56937083208518,-1.7950247588430712,2.067754956714216,1.4003745765084814,0.0
