Model,R2
DMQv0c,19.2
DMQv0,19.0
QRF,16.2
Naive,4.9
AR1,4.2
QGB,4.0
AR1_Mean,1.0
VG,-3.1
DMQv2,-6.6
LAS,-17.1
LR,-17.4
DMQv2c,-27.0
DMQv1,-39.7
DMQv1c,-52.9
