,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.008469759095372884,0.09845691638048171,0.04115459309909026,8.389389669274156e-05,0.3507571533032121,0.12055546938196308,0.24977641634600312,0.781555110344761
IAR,0.008469759095372884,,0.19981948182402587,0.23963464446938787,0.00010665838774887411,0.014013906525023824,0.00030570799744508004,0.00455699624949529,0.026279030523491207
LR,0.09845691638048171,0.19981948182402587,,0.13674612122249755,0.06694667589351506,0.10909277744709767,0.06853129495262204,0.06960270368823221,0.09238089384513766
LAS,0.04115459309909026,0.23963464446938787,0.13674612122249755,,0.00045637821889491436,0.22545909751752724,0.025774034076895987,0.052668702614487785,0.24798574159429032
QRF,8.389389669274156e-05,0.00010665838774887411,0.06694667589351506,0.00045637821889491436,,0.00036231275364020216,0.8414530090872858,0.9952400621760933,0.282839072891084
QGB,0.3507571533032121,0.014013906525023824,0.10909277744709767,0.22545909751752724,0.00036231275364020216,,0.05892247972604914,0.16166103707579194,0.5535492179447921
DMQv0c,0.12055546938196308,0.00030570799744508004,0.06853129495262204,0.025774034076895987,0.8414530090872858,0.05892247972604914,,0.8278441169028925,0.10745226764077671
DMQv1c,0.24977641634600312,0.00455699624949529,0.06960270368823221,0.052668702614487785,0.9952400621760933,0.16166103707579194,0.8278441169028925,,0.08550114025359587
DMQv2c,0.781555110344761,0.026279030523491207,0.09238089384513766,0.24798574159429032,0.282839072891084,0.5535492179447921,0.10745226764077671,0.08550114025359587,
