,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.14913988779719267,0.27692806869401454,0.9644324631456634,0.0040820532002526005,0.0010073132117494469,0.5419262280321816,0.013843782822405653,0.852342928765256
UAR,0.14913988779719267,,0.26544875943511725,0.2438254916522935,0.625616357318354,0.41328688609377906,0.8250538782017597,0.5638642153377378,0.41768681850178635
LR,0.27692806869401454,0.26544875943511725,,0.273002833499031,0.25836722309248494,0.25477608781213834,0.2696305885299428,0.26021718984176856,0.2792830652997672
LAS,0.9644324631456634,0.2438254916522935,0.273002833499031,,0.028173048855840346,0.0195643588488112,0.5479551394389724,0.05070054406041712,0.8797743584155637
QRF,0.0040820532002526005,0.625616357318354,0.25836722309248494,0.028173048855840346,,0.0855043465500763,0.6747995256479196,0.8245434378606751,0.22796835691628636
QGB,0.0010073132117494469,0.41328688609377906,0.25477608781213834,0.0195643588488112,0.0855043465500763,,0.5720396631536007,0.7632301550432288,0.1770388320025148
DMQv0c,0.5419262280321816,0.8250538782017597,0.2696305885299428,0.5479551394389724,0.6747995256479196,0.5720396631536007,,0.553974081896826,0.4647442821396076
DMQv1c,0.013843782822405653,0.5638642153377378,0.26021718984176856,0.05070054406041712,0.8245434378606751,0.7632301550432288,0.553974081896826,,0.05675617478993709
DMQv2c,0.852342928765256,0.41768681850178635,0.2792830652997672,0.8797743584155637,0.22796835691628636,0.1770388320025148,0.4647442821396076,0.05675617478993709,
