Model,R2
DMQv0c,52.2
DMQv1c,39.4
DMQv2c,36.8
DMQv0,32.3
DMQv1,29.7
UAR,21.2
DMQv2,18.1
QRF,12.2
QGB,8.3
AR1_Mean,2.5
AR1,2.0
Naive,1.7
LR,-16.5
LAS,-22.0
