,AR1,VG,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-1.0296158220547362,-1.6341228089189814,-2.3039805658399084,1.5343262825049728,1.6355210886592944,2.181831669965933,0.868804909861023,1.015079918220682
VG,1.0296158220547362,0.0,-1.4952889650621244,-1.4810199453043928,2.154202532537197,2.3355076882740846,3.9990781433999825,2.1463240119341287,2.076873003332605
LR,1.6341228089189814,1.4952889650621244,0.0,1.3657368554327947,1.7413254576523685,1.754165552472387,1.8462614566960263,1.7057067190612958,1.724501759996344
LAS,2.3039805658399084,1.4810199453043928,-1.3657368554327947,0.0,3.0267593218709714,2.9987802715123757,4.253004656250058,2.4817979697149104,2.3779998514265603
QRF,-1.5343262825049728,-2.154202532537197,-1.7413254576523685,-3.0267593218709714,0.0,0.8348873808440441,1.3869971775806649,0.022082111759755264,0.41076892627750433
QGB,-1.6355210886592944,-2.3355076882740846,-1.754165552472387,-2.9987802715123757,-0.8348873808440441,0.0,1.1220160050835395,-0.3446159909429302,0.14161141832768304
DMQv0c,-2.181831669965933,-3.9990781433999825,-1.8462614566960263,-4.253004656250058,-1.3869971775806649,-1.1220160050835395,0.0,-1.7762847051937882,-0.9751538791756652
DMQv1c,-0.868804909861023,-2.1463240119341287,-1.7057067190612958,-2.4817979697149104,-0.022082111759755264,0.3446159909429302,1.7762847051937882,0.0,0.7150787489382863
DMQv2c,-1.015079918220682,-2.076873003332605,-1.724501759996344,-2.3779998514265603,-0.41076892627750433,-0.14161141832768304,0.9751538791756652,-0.7150787489382863,0.0
