,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.9055178469883906,0.09416562747801523,0.25415484440681935,3.756933540517168e-07,0.011817454987728498,0.03700836118330027,0.011145739177573066,0.32271877386266223
UAR,0.9055178469883906,,0.13079553992210113,0.5847397192955217,0.024241635804662928,0.2841899680451234,0.027712583072089094,0.015822434712285276,0.30900087542801546
LR,0.09416562747801523,0.13079553992210113,,0.09277945679200758,0.04051571855339851,0.05841746670771676,0.033108630945064735,0.04568521164784331,0.07645044027457089
LAS,0.25415484440681935,0.5847397192955217,0.09277945679200758,,0.0019362925816097485,0.01163622560556476,0.025880673957490528,0.020315906555084272,0.19133032486072166
QRF,3.756933540517168e-07,0.024241635804662928,0.04051571855339851,0.0019362925816097485,,0.024626580119313426,0.5120392479067762,0.6609863362870361,0.553554346512307
QGB,0.011817454987728498,0.2841899680451234,0.05841746670771676,0.01163622560556476,0.024626580119313426,,0.2199389673923855,0.16930590406938817,0.8792241880134422
DMQv0c,0.03700836118330027,0.027712583072089094,0.033108630945064735,0.025880673957490528,0.5120392479067762,0.2199389673923855,,0.6317402172147057,0.15298267214733077
DMQv1c,0.011145739177573066,0.015822434712285276,0.04568521164784331,0.020315906555084272,0.6609863362870361,0.16930590406938817,0.6317402172147057,,0.18037041657099195
DMQv2c,0.32271877386266223,0.30900087542801546,0.07645044027457089,0.19133032486072166,0.553554346512307,0.8792241880134422,0.15298267214733077,0.18037041657099195,
