Model,R2
QGB,7.1
UAR,4.8
QRF,3.6
AR1,0.1
Naive,0.1
DMQv1c,-3.2
DMQv1,-9.3
LAS,-9.3
AR1_Mean,-14.5
DMQv0,-17.6
DMQv0c,-19.6
DMQv2,-20.8
LR,-30.2
DMQv2c,-32.3
