,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.0010539987405310388,0.18110204751960945,0.00946611733244921,0.28846282891493225,4.9591779930308725e-05,0.40561152406708234,0.78822596847608,0.5232443357079295
IAR,0.0010539987405310388,,0.23030820716388745,0.9134889809877533,0.0011832618922328155,0.42701004770926576,0.0013050354754716603,0.0401444693433331,0.06654269891720113
LR,0.18110204751960945,0.23030820716388745,,0.22544463152868077,0.18287983060569057,0.23718936322291995,0.174814792787634,0.19874748895994399,0.20276795115982593
LAS,0.00946611733244921,0.9134889809877533,0.22544463152868077,,0.013139406183854608,0.49482649259493816,0.00615152376431081,0.08477433855758032,0.13910950373523098
QRF,0.28846282891493225,0.0011832618922328155,0.18287983060569057,0.013139406183854608,,8.643093942303548e-05,0.3160051525928369,0.8517458417930235,0.5691045068662245
QGB,4.9591779930308725e-05,0.42701004770926576,0.23718936322291995,0.49482649259493816,8.643093942303548e-05,,0.0025171197876639848,0.04989239869877486,0.07264975530055176
DMQv0c,0.40561152406708234,0.0013050354754716603,0.174814792787634,0.00615152376431081,0.3160051525928369,0.0025171197876639848,,0.14262213586605813,0.03866307123379105
DMQv1c,0.78822596847608,0.0401444693433331,0.19874748895994399,0.08477433855758032,0.8517458417930235,0.04989239869877486,0.14262213586605813,,0.16140117909347407
DMQv2c,0.5232443357079295,0.06654269891720113,0.20276795115982593,0.13910950373523098,0.5691045068662245,0.07264975530055176,0.03866307123379105,0.16140117909347407,
