Model,R2
DMQv2c,5.7
DMQv1,4.4
QRF,2.4
Naive,0.9
AR1,0.7
DMQv2,-3.1
QGB,-4.8
DMQv1c,-9.9
LAS,-15.2
AR1_Mean,-26.7
DMQv0,-40.9
DMQv0c,-45.7
IAR,-80.1
LR,-163.1
