,AR1,VG,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,2.2579522939696868,-1.1782339348839748,-0.03823429931898553,5.288217057405228,7.2969778099527085,3.3242442009954583,2.7449673610754637,2.3514220842944327
VG,-2.2579522939696868,0.0,-1.2727202946301626,-0.85934979586524,1.6735872936651293,5.386494704794675,3.145929546107322,2.1536944682526356,1.8131985386177507
LR,1.1782339348839748,1.2727202946301626,0.0,1.1766306496864698,1.3613616842805494,1.6118796629622005,1.5153707408504602,1.44482454986855,1.4331878403926754
LAS,0.03823429931898553,0.85934979586524,-1.1766306496864698,0.0,1.3157124017367052,3.0961769824374654,3.480666489006465,2.236880559676693,2.2404721201409687
QRF,-5.288217057405228,-1.6735872936651293,-1.3613616842805494,-1.3157124017367052,0.0,6.196888887526789,1.7698459711550323,1.0786053580169193,0.9214003561128287
QGB,-7.2969778099527085,-5.386494704794675,-1.6118796629622005,-3.0961769824374654,-6.196888887526789,0.0,-0.9418820987725107,-2.2359899775532344,-1.9839137417496941
DMQv0c,-3.3242442009954583,-3.145929546107322,-1.5153707408504602,-3.480666489006465,-1.7698459711550323,0.9418820987725107,0.0,-1.3035012370281924,-1.3804325523459249
DMQv1c,-2.7449673610754637,-2.1536944682526356,-1.44482454986855,-2.236880559676693,-1.0786053580169193,2.2359899775532344,1.3035012370281924,0.0,-0.025813591436851753
DMQv2c,-2.3514220842944327,-1.8131985386177507,-1.4331878403926754,-2.2404721201409687,-0.9214003561128287,1.9839137417496941,1.3804325523459249,0.025813591436851753,0.0
