,AR1,UAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,0.0,-0.11869392838676979,-1.6738217955438783,-1.140315591581402,5.0808785051563,2.517548942714209,2.0856718152130473,2.5380960443888205,0.9888863006482186
UAR,0.11869392838676979,0.0,-1.510972176468575,-0.5464746342780891,2.2532778444996797,1.0709543235098566,2.201331236658471,2.412985829588519,1.0173207357212437
LR,1.6738217955438783,1.510972176468575,0.0,1.680914841292006,2.048452124908921,1.8925520412537211,2.130763497720094,1.9982901603482515,1.7716634501415425
LAS,1.140315591581402,0.5464746342780891,-1.680914841292006,0.0,3.0998338023344916,2.5229883496414107,2.2279976163009034,2.3204618469311797,1.3066537737793216
QRF,-5.0808785051563,-2.2532778444996797,-2.048452124908921,-3.0998338023344916,0.0,-2.247210458330815,0.6556656919518157,0.4385517895016149,-0.592442451404066
QGB,-2.517548942714209,-1.0709543235098566,-1.8925520412537211,-2.5229883496414107,2.247210458330815,0.0,1.2266904262535434,1.3744374899425464,0.15195276878005282
DMQv0c,-2.0856718152130473,-2.201331236658471,-2.130763497720094,-2.2279976163009034,-0.6556656919518157,-1.2266904262535434,0.0,-0.4792789190275926,-1.429075020767295
DMQv1c,-2.5380960443888205,-2.412985829588519,-1.9982901603482515,-2.3204618469311797,-0.4385517895016149,-1.3744374899425464,0.4792789190275926,0.0,-1.3396153936322668
DMQv2c,-0.9888863006482186,-1.0173207357212437,-1.7716634501415425,-1.3066537737793216,0.592442451404066,-0.15195276878005282,1.429075020767295,1.3396153936322668,0.0
