Model,0.05,0.25,0.5,0.75,0.95,Mean
Naive,-0.1,0.6,0.4,1.8,0.5,0.64
AR1,-0.1,0.7,0.4,2.0,-0.5,0.5
DMQv1,-6.6,-3.6,-7.6,1.7,16.4,0.060000000000000143
DMQv2,-24.9,-4.7,-1.7,15.0,3.4,-2.579999999999999
DMQv2c,2.4,6.7,-3.6,-5.0,-36.8,-7.26
QRF,-5.2,2.0,-1.7,-7.3,-25.0,-7.44
DMQv1c,-21.1,13.2,2.9,-14.0,-90.5,-21.9
DMQv0,-10.2,-8.2,-19.3,-52.3,-52.9,-28.580000000000002
QGB,-34.4,4.2,-2.3,-14.1,-138.6,-37.04
IAR,-54.7,-1.0,-38.7,-52.3,-49.6,-39.26
DMQv0c,-3.4,2.5,-9.6,-42.2,-163.1,-43.160000000000004
LAS,-77.7,0.7,0.4,-13.9,-299.1,-77.92
LR,-161.0,-27.2,-21.7,-31.3,-304.9,-109.21999999999998
