,AR1,IAR,LR,LAS,QRF,QGB,DMQv0c,DMQv1c,DMQv2c
AR1,,0.3860916544750046,0.2300912227261963,0.23260877905745225,1.566668472909536e-05,0.030123489787330995,0.04441156923488315,0.00021629845242698682,3.283690964211372e-09
IAR,0.3860916544750046,,0.2823769770999486,0.28459873813992687,0.054035379822363595,0.037937033515843696,0.052102124231711004,0.013409304371822294,0.0051464119408074415
LR,0.2300912227261963,0.2823769770999486,,0.7795163423109326,0.1783130946042223,0.15866724211463756,0.16629261232100612,0.15169150030837064,0.14284389024918442
LAS,0.23260877905745225,0.28459873813992687,0.7795163423109326,,0.18083617603218471,0.16117669906577936,0.1689008513663267,0.15420964294909065,0.14530370778508897
QRF,1.566668472909536e-05,0.054035379822363595,0.1783130946042223,0.18083617603218471,,0.3494419568015763,0.5699495264308863,0.028152646531469528,2.2656470647033618e-06
QGB,0.030123489787330995,0.037937033515843696,0.15866724211463756,0.16117669906577936,0.3494419568015763,,0.5521219714205244,0.5617263677419352,0.31411254386054555
DMQv0c,0.04441156923488315,0.052102124231711004,0.16629261232100612,0.1689008513663267,0.5699495264308863,0.5521219714205244,,0.1766204936197896,0.1643728373537655
DMQv1c,0.00021629845242698682,0.013409304371822294,0.15169150030837064,0.15420964294909065,0.028152646531469528,0.5617263677419352,0.1766204936197896,,0.18318808325911662
DMQv2c,3.283690964211372e-09,0.0051464119408074415,0.14284389024918442,0.14530370778508897,2.2656470647033618e-06,0.31411254386054555,0.1643728373537655,0.18318808325911662,
