Model,R2
DMQv1,26.7
DMQv2,25.8
DMQv2c,22.2
DMQv0,16.1
DMQv1c,11.4
QRF,10.5
QGB,8.0
Naive,1.7
AR1,1.5
AR1_Mean,-0.8
DMQv0c,-1.1
VG,-12.2
LAS,-250.0
LR,-26524.7
