Model,R2
DMQv0c,62.8
DMQv0,59.4
DMQv2c,51.9
DMQv1c,46.7
DMQv1,44.1
QGB,42.7
DMQv2,36.4
AR1_Mean,34.4
QRF,26.3
Naive,-6.6
AR1,-7.3
IAR,-10.4
LAS,-37.2
LR,-17533.6
