Model,R2
QRF,15.9
QGB,14.6
UAR,8.6
DMQv2,8.1
DMQv1c,3.3
DMQv0,3.3
DMQv2c,3.1
DMQv1,2.6
DMQv0c,1.5
Naive,0.5
AR1,0.5
AR1_Mean,-6.8
LAS,-122.4
LR,-6041.7
