Model,R2
QGB,14.5
QRF,13.3
DMQv0,9.2
QRF-l,8.7
UAR,8.6
DMQv0c,7.6
DMQe_all,6.7
DMQv2,5.1
DMQv1c,4.3
DMQv1,1.8
AR1,0.5
DMQv2c,-1.4
LAS-l,-5.4
LAS,-6.7
AR1_Mean,-6.8
QPCR,-70.2
LR,-652.5
