Model,R2
DMQv1c,57.1
DMQe,52.0
DMQv2c,46.3
DMQv1,45.9
DMQv2,44.2
QGB,43.7
DMQv0,42.7
DMQv0c,42.1
QRF-l,36.2
AR1_Mean,34.4
QRF,29.4
LAS-l,18.6
Naive,-6.6
AR1,-7.3
IAR,-10.4
LAS,-165.5
QPCR,-326.1
LR,-680.5
