Model,R2
DMQv2c,23.4
DMQe,18.9
DMQv1c,14.6
DMQv0c,14.1
DMQv0,12.9
DMQv2,12.3
DMQv1,9.4
QGB,6.2
QRF,3.9
QRF-l,2.8
Naive,1.9
AR1,1.5
AR1_Mean,-0.8
VG,-11.5
LAS,-15.7
QPCR,-37.9
LAS-l,-55.1
LR,-180.0
