Model,0.05,0.25,0.5,0.75,0.95,Mean
QRF,15.9,9.7,11.8,17.2,12.2,13.360000000000003
QGB,-33.7,2.6,16.5,33.8,23.5,8.54
DMQv0,-29.9,0.7,10.1,25.6,24.5,6.2
Naive,2.2,0.7,0.8,0.4,0.1,0.8400000000000001
AR1,2.1,0.7,0.7,0.2,-0.1,0.72
VG,-10.5,-6.7,-4.2,7.0,4.0,-2.0799999999999996
EN,-68.7,-128.7,-146.1,-63.6,-383.1,-158.04000000000002
QR,-37952.3,-29467.0,-18769.2,-45927.6,-61635.0,-38750.22
