,AR1,UAR,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,0.0,0.6772356094174166,-0.2389547627395467,-1.5413373265474286,-0.8452274405996416,2.449174456338857,3.9091161001874117,1.2579661546624854,1.181999077841202
UAR,-0.6772356094174166,0.0,-0.6787350305401332,-1.56854374512529,-0.9980088138476487,0.47509091079424937,0.8181231240415655,0.3920277096559271,0.5448901599137449
Naive,0.2389547627395467,0.6787350305401332,0.0,-1.5413576594989264,-0.8452634301197252,2.452876218318445,3.911726106351336,1.259211016939649,1.183188380790722
QR,1.5413373265474286,1.56854374512529,1.5413576594989264,0.0,1.3592006364942564,1.5937040358218275,1.6056854337276112,1.5812264068263187,1.5969847926710081
EN,0.8452274405996416,0.9980088138476487,0.8452634301197252,-1.3592006364942564,0.0,1.0229092877610453,1.0503479396193314,1.0328073657206482,1.106708289681429
QRF,-2.449174456338857,-0.47509091079424937,-2.452876218318445,-1.5937040358218275,-1.0229092877610453,0.0,1.772055180395527,-0.04234822313025596,0.1969280531010375
QGB,-3.9091161001874117,-0.8181231240415655,-3.911726106351336,-1.6056854337276112,-1.0503479396193314,-1.772055180395527,0.0,-0.5263096229069537,-0.21748553198196932
DMQv0,-1.2579661546624854,-0.3920277096559271,-1.259211016939649,-1.5812264068263187,-1.0328073657206482,0.04234822313025596,0.5263096229069537,0.0,0.3460034180939088
DMQv1,-1.181999077841202,-0.5448901599137449,-1.183188380790722,-1.5969847926710081,-1.106708289681429,-0.1969280531010375,0.21748553198196932,-0.3460034180939088,0.0
