,AR1,UAR,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,,0.49825647777404947,0.8111406607581568,0.12323470883395267,0.39798386417867126,0.01431840781652375,9.26344390306388e-05,0.2084039967368706,0.23720606675985179
UAR,0.49825647777404947,,0.49730576599600596,0.11675428924081774,0.3182750847450766,0.6347221766718496,0.41328688609377906,0.695037739876538,0.5858290643581148
Naive,0.8111406607581568,0.49730576599600596,,0.12322976285261054,0.39796377429252505,0.01417190962258554,9.163880550641488e-05,0.2079541233174852,0.23673449684902448
QR,0.12323470883395267,0.11675428924081774,0.12322976285261054,,0.1740830196631028,0.11100233988183103,0.10834304335908443,0.11382627954614936,0.11026909710146852
EN,0.39798386417867126,0.3182750847450766,0.39796377429252505,0.1740830196631028,,0.30635073770820376,0.2935581717639051,0.3016940560646112,0.26842007015286296
QRF,0.01431840781652375,0.6347221766718496,0.01417190962258554,0.11100233988183103,0.30635073770820376,,0.07638539787100096,0.9662211032431862,0.8438838403176105
QGB,9.26344390306388e-05,0.41328688609377906,9.163880550641488e-05,0.10834304335908443,0.2935581717639051,0.07638539787100096,,0.5986730980915487,0.8278299809798144
DMQv0,0.2084039967368706,0.695037739876538,0.2079541233174852,0.11382627954614936,0.3016940560646112,0.9662211032431862,0.5986730980915487,,0.7293401459522604
DMQv1,0.23720606675985179,0.5858290643581148,0.23673449684902448,0.11026909710146852,0.26842007015286296,0.8438838403176105,0.8278299809798144,0.7293401459522604,
