,AR1,IAR,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,,0.0017088152802595866,0.0005727621680109012,0.2810228747524778,0.1067658250560033,0.5181286962305514,0.34657857585261365,0.3446420747221849,0.8239879689899393
IAR,0.0017088152802595866,,0.801939171042833,0.28111393285821296,0.2714101139378947,0.005515827624878583,4.013984977557727e-05,0.00038063935273973185,0.004387708170387524
Naive,0.0005727621680109012,0.801939171042833,,0.2810984054848157,0.23833168528472204,1.3679331802373358e-08,4.440535747573027e-08,2.980873215410966e-07,0.00985580415359396
QR,0.2810228747524778,0.28111393285821296,0.2810984054848157,,0.28112585483951125,0.281035227215246,0.2810123321596011,0.2810064176345721,0.2810232164340438
EN,0.1067658250560033,0.2714101139378947,0.23833168528472204,0.28112585483951125,,0.12578165367660635,0.09906336344915945,0.08898688116147731,0.11122912609742304
QRF,0.5181286962305514,0.005515827624878583,1.3679331802373358e-08,0.281035227215246,0.12578165367660635,,0.00028673014216911325,0.03081071863989047,0.47092581828481384
QGB,0.34657857585261365,4.013984977557727e-05,4.440535747573027e-08,0.2810123321596011,0.09906336344915945,0.00028673014216911325,,0.9192392437079788,0.5216811128605812
DMQv0,0.3446420747221849,0.00038063935273973185,2.980873215410966e-07,0.2810064176345721,0.08898688116147731,0.03081071863989047,0.9192392437079788,,0.5436201969612744
DMQv1,0.8239879689899393,0.004387708170387524,0.00985580415359396,0.2810232164340438,0.11122912609742304,0.47092581828481384,0.5216811128605812,0.5436201969612744,
