,AR1,VG,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,,,,,,,,,
VG,,,,,,,,,
Naive,,,,,,,,,
QR,,,,,,,,,
EN,,,,,,,,,
QRF,,,,,,,,,
QGB,,,,,,,,,
DMQv0,,,,,,,,,
DMQv1,,,,,,,,,
