,AR1,VG,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,0.0,-0.8637317909648101,2.465572380942096,-3.075817614832288,-1.369677324988501,0.1151399729111765,0.9176383667739484,0.9754762836534747,0.3094118147618753
VG,0.8637317909648101,0.0,0.8799142813698085,-3.079520681799717,-1.2454198480253902,1.056299151528562,1.65449273690093,2.256130875334081,1.2700273202841734
Naive,-2.465572380942096,-0.8799142813698085,0.0,-3.0762266046744653,-1.3753860553850719,0.08262223520711814,0.8966149505550293,0.9634297049617793,0.2970007319973553
QR,3.075817614832288,3.079520681799717,3.0762266046744653,0.0,3.1315934240961147,3.079121317104482,3.0853464998084448,3.0932780134077835,3.0690884837814663
EN,1.369677324988501,1.2454198480253902,1.3753860553850719,-3.1315934240961147,0.0,1.417122328621368,1.54079362060028,1.6336373666352608,1.3447510713847592
QRF,-0.1151399729111765,-1.056299151528562,-0.08262223520711814,-3.079121317104482,-1.417122328621368,0.0,1.7595854326004812,1.010304841995585,0.32603947543628253
QGB,-0.9176383667739484,-1.65449273690093,-0.8966149505550293,-3.0853464998084448,-1.54079362060028,-1.7595854326004812,0.0,0.652093713959531,-0.2231836343331943
DMQv0,-0.9754762836534747,-2.256130875334081,-0.9634297049617793,-3.0932780134077835,-1.6336373666352608,-1.010304841995585,-0.652093713959531,0.0,-1.1026676241381996
DMQv1,-0.3094118147618753,-1.2700273202841734,-0.2970007319973553,-3.0690884837814663,-1.3447510713847592,-0.32603947543628253,0.2231836343331943,1.1026676241381996,0.0
