,AR1,IAR,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,,,,,,,,,
IAR,,,,,,,,,
Naive,,,,,,,,,
QR,,,,,,,,,
EN,,,,,,,,,
QRF,,,,,,,,,
QGB,,,,,,,,,
DMQv0,,,,,,,,,
DMQv1,,,,,,,,,
