,AR1,UAR,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,,,,,,,,,
UAR,,,,,,,,,
Naive,,,,,,,,,
QR,,,,,,,,,
EN,,,,,,,,,
QRF,,,,,,,,,
QGB,,,,,,,,,
DMQv0,,,,,,,,,
DMQv1,,,,,,,,,
