,AR1,VG,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,,0.4368253166169309,0.14405807876207008,0.0021077329450177617,0.17883499622529087,0.6259382875056007,0.1918023746019759,0.240788879878144,0.6413329248073321
VG,0.4368253166169309,,0.37890574748206896,0.0020733397453832282,0.21297746121851302,0.2908315634958325,0.09802743784617865,0.02406243601694643,0.20407489862347505
Naive,0.14405807876207008,0.37890574748206896,,0.002096384558595208,0.1690117898267579,0.9341519205829757,0.3699244175474532,0.3353319251614263,0.7664659502862399
QR,0.0021077329450177617,0.0020733397453832282,0.002096384558595208,,0.0017386046046267939,0.0020761212021783207,0.0020331514036008996,0.0019795859092110474,0.0021471298694460714
EN,0.17883499622529087,0.21297746121851302,0.1690117898267579,0.0017386046046267939,,0.1564471653786616,0.12336702256193184,0.10233501690504239,0.17870563581806687
QRF,0.6259382875056007,0.2908315634958325,0.9341519205829757,0.0020761212021783207,0.1564471653786616,,0.07847812325401066,0.3123492620568814,0.7443944884682974
QGB,0.1918023746019759,0.09802743784617865,0.3699244175474532,0.0020331514036008996,0.12336702256193184,0.07847812325401066,,0.5143407189715965,0.8233925886336451
DMQv0,0.240788879878144,0.02406243601694643,0.3353319251614263,0.0019795859092110474,0.10233501690504239,0.3123492620568814,0.5143407189715965,,0.2701715314615155
DMQv1,0.6413329248073321,0.20407489862347505,0.7664659502862399,0.0021471298694460714,0.17870563581806687,0.7443944884682974,0.8233925886336451,0.2701715314615155,
