,AR1,IAR,Naive,QR,EN,QRF,QGB,DMQv0,DMQv1
AR1,0.0,-3.136664530042146,-3.444195132785089,-1.078024383329825,-1.6129018875633816,-0.6462326522176537,0.9412464541175071,0.9450329099774889,0.22241868315719207
IAR,3.136664530042146,0.0,0.2508382454589915,-1.0778203573173408,-1.0998210154031878,2.775255970103103,4.106673203814594,3.553155526448243,2.8488534829552083
Naive,3.444195132785089,-0.2508382454589915,0.0,-1.0778551449852483,-1.1791669960427156,5.677355095509113,5.472371162686456,5.124652297319605,2.5808477345057916
QR,1.078024383329825,1.0778203573173408,1.0778551449852483,0.0,1.077793648087721,1.0779967036053664,1.0780480081033865,1.0780612621570904,1.0780236176696505
EN,1.6129018875633816,1.0998210154031878,1.1791669960427156,-1.077793648087721,0.0,1.5309503916340648,1.6494114847867989,1.7007662925421458,1.592692788652011
QRF,0.6462326522176537,-2.775255970103103,-5.677355095509113,-1.0779967036053664,-1.5309503916340648,0.0,3.6270028393840286,2.1595087576943013,0.7209735015864013
QGB,-0.9412464541175071,-4.106673203814594,-5.472371162686456,-1.0780480081033865,-1.6494114847867989,-3.6270028393840286,0.0,0.10139205431528524,-0.640756171298943
DMQv0,-0.9450329099774889,-3.553155526448243,-5.124652297319605,-1.0780612621570904,-1.7007662925421458,-2.1595087576943013,-0.10139205431528524,0.0,-0.6073476879400126
DMQv1,-0.22241868315719207,-2.8488534829552083,-2.5808477345057916,-1.0780236176696505,-1.592692788652011,-0.7209735015864013,0.640756171298943,0.6073476879400126,0.0
