Model,R2
QGB,53.9
DMQv2,48.9
DMQv2c,44.7
QRF,42.9
DMQv0,42.5
DMQv1c,41.5
DMQv0c,40.0
DMQv1,39.5
AR1_Mean,34.4
Naive,-6.6
AR1,-7.3
IAR,-10.4
LAS,-518.2
LR,-16038.8
