Model,R2
QGB,16.0
UAR,8.6
QRF,7.6
AR1,0.5
Naive,0.5
AR1_Mean,-6.8
DMQv1,-15.2
DMQv2,-18.2
DMQv0,-21.8
DMQv1c,-33.6
DMQv0c,-44.0
DMQv2c,-46.2
LAS,-149.5
LR,-19698.6
