Model,R2
QGB,25.7
QRF,18.2
DMQv0c,13.3
DMQv2c,12.4
DMQv2,9.6
DMQv1c,7.4
Naive,1.7
AR1,1.5
DMQv1,1.4
AR1_Mean,-0.8
DMQv0,-4.1
VG,-12.2
LAS,-232.8
LR,-177076.5
